TXCLK_P	  10800.79	 27.757	0.005	  90.55	 0.152	 0.152	  0.50
TXCLK_N	  11033.92	 27.171	0.005	  88.63	 0.152	 0.152	  0.50

TX0_N	  11868.49	 25.260	0.005	  82.40	 0.152	 0.152	  0.50
TX0_P	   9930.89	 30.189	0.005	  98.48	 0.152	 0.152	  0.50

TX1_P	  12765.90	 23.484	0.005	  76.61	 0.152	 0.152	  0.50
TX1_N	  11754.94	 25.504	0.005	  83.20	 0.152	 0.152	  0.50

TX2_N	  13990.49	 21.429	0.005	  69.90	 0.152	 0.152	  0.50
TX2_P	  14951.23	 20.052	0.005	  65.41	 0.152	 0.152	  0.50
